2026-05-21 09:00:00 | INFO     | __main__:run:28         | ============================================================
2026-05-21 09:00:00 | INFO     | __main__:run:29         | AutoDoc run started — input: ./autodoc
2026-05-21 09:00:00 | INFO     | __main__:run:30         | LLM mode: mock
2026-05-21 09:00:00 | INFO     | __main__:run:38         | Step 1/4 — fetching codebase
2026-05-21 09:00:00 | INFO     | autodoc.ingestion.fetcher:fetch_codebase:12    | Fetching codebase from: ./autodoc
2026-05-21 09:00:00 | INFO     | autodoc.ingestion.fetcher:_resolve_local_path:48 | Using local path: /home/user/autodoc-agent/autodoc
2026-05-21 09:00:00 | INFO     | __main__:run:42         | Step 2/4 — parsing files
2026-05-21 09:00:00 | INFO     | autodoc.ingestion.parser:parse_codebase:20    | Scanning for Python files under: /home/user/autodoc-agent/autodoc
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/__init__.py — classes: 0, functions: 0, imports: 0
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/config.py — classes: 1, functions: 0, imports: 3
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/logger.py — classes: 0, functions: 2, imports: 4
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/ingestion/__init__.py — classes: 0, functions: 0, imports: 0
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/ingestion/fetcher.py — classes: 0, functions: 2, imports: 5
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/ingestion/parser.py — classes: 0, functions: 2, imports: 4
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/ingestion/graph.py — classes: 0, functions: 1, imports: 2
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/ingestion/detector.py — classes: 0, functions: 1, imports: 5
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/models/__init__.py — classes: 0, functions: 0, imports: 0
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/models/manifest.py — classes: 8, functions: 0, imports: 3
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/llm/__init__.py — classes: 0, functions: 1, imports: 2
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/llm/base.py — classes: 1, functions: 0, imports: 1
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/llm/client.py — classes: 1, functions: 0, imports: 3
2026-05-21 09:00:00 | DEBUG    | autodoc.ingestion.parser:parse_codebase:38    | Parsed: autodoc/llm/mock.py — classes: 1, functions: 0, imports: 2
2026-05-21 09:00:00 | INFO     | autodoc.ingestion.parser:parse_codebase:44    | Parse complete — parsed: 14, skipped (dirs): 0, skipped (syntax): 0
2026-05-21 09:00:00 | INFO     | __main__:run:46         | Step 3/4 — building dependency graph
